Image,Original Name,Word Count Range,Article Number,Image Sequence,Font Size,Blur Level,Background Color,Gold Label,Response,WER,CER,word_count
44,110-130_16_02_base_18.jpg,110-130,16,2,18,0.0,white,امریکا کے صددارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکہ کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابات کے راستے میں سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا کیونکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کی روٹ کاؤنٹی میں اسکی ریزورٹ شہر اسٹیم بوٹ اسپرنگز میں برف باری ہوئی جہاں کئی افراد سڑکوں پر کھڑے ہو کر لوگوں کو ووٹ ڈالنے کی ترغیب دینے والی گاڑیوں پر نشانات لہرا رہے تھے۔ ڈینور کے شمال مغرب میں واقع کولوراڈو کی بولڈر کاؤنٹی میں واقع نیڈرلینڈ میں نیڈرلینڈ کمیونٹی سینٹر کے پولنگ کے مقام پر برف باری دیکھی گئی.,امریکا کے صدارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکا کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابات کے راستے میں سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا، جبکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو میں اسکی ریزورٹ شہر اسٹیمبوٹ اسپرنگز میں برف باری ہوئی جہاں کئی افراد سڑک پر کھڑے ہو کر لوگوں کو ووٹ ڈالنے کی ترغیب دلاتے رہے۔ جبکہ ڈیٹرائٹ میں شمال مغرب میں واقع کولوراڈو کی بولڈر کاؤنٹی میں نیڈر لینڈ کمیونٹی سینٹر کے پولنگ کے مقام پر برف باری دی گئی۔,0.20634920634920634,0.13157894736842105,126
45,110-130_16_02_base_18_bg-light_yellow.jpg,110-130,16,2,18,0.0,light_yellow,امریکا کے صددارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکہ کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابات کے راستے میں سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا کیونکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کی روٹ کاؤنٹی میں اسکی ریزورٹ شہر اسٹیم بوٹ اسپرنگز میں برف باری ہوئی جہاں کئی افراد سڑکوں پر کھڑے ہو کر لوگوں کو ووٹ ڈالنے کی ترغیب دینے والی گاڑیوں پر نشانات لہرا رہے تھے۔ ڈینور کے شمال مغرب میں واقع کولوراڈو کی بولڈر کاؤنٹی میں واقع نیڈرلینڈ میں نیڈرلینڈ کمیونٹی سینٹر کے پولنگ کے مقام پر برف باری دیکھی گئی.,امریکا کے صدارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکہ کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابات کے راستے میں سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا، کیونکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کی روٹ فائیو میں اسکی ریزورٹ شہر اسٹیمبوٹ میں برف باری ہوئی جہاں کئی افراد سڑکوں پر کھڑے ہوکر لوگوں کو ووٹ ڈالنے کی ترغیب دلاتے رہے۔ نیشنل ویدر سروس کے مطابق مغرب میں واقع کولوراڈو کی بولڈر راک کیوٹی میں وائنڈر لینڈ لیک نیچر لینڈنگ کے پولنگ کے مقام پر برف باری دیکھی گئی۔,0.21428571428571427,0.13312693498452013,126
46,110-130_16_02_base_18_bg-slate_gray.jpg,110-130,16,2,18,0.0,slate_gray,امریکا کے صددارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکہ کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابات کے راستے میں سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا کیونکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کی روٹ کاؤنٹی میں اسکی ریزورٹ شہر اسٹیم بوٹ اسپرنگز میں برف باری ہوئی جہاں کئی افراد سڑکوں پر کھڑے ہو کر لوگوں کو ووٹ ڈالنے کی ترغیب دینے والی گاڑیوں پر نشانات لہرا رہے تھے۔ ڈینور کے شمال مغرب میں واقع کولوراڈو کی بولڈر کاؤنٹی میں واقع نیڈرلینڈ میں نیڈرلینڈ کمیونٹی سینٹر کے پولنگ کے مقام پر برف باری دیکھی گئی.,امریکا کے صدارتی انتخابات کے دوران چند ریاستوں میں برف باری کے باعث ووٹنگ کا عمل سست رہا۔ امریکا کی متعدد ریاستوں میں برف باری کے باعث ووٹنگ کا عمل سست رہا۔ ان انتخابات کے دوران برف باری کے باعث شمالی امریکا کے متعدد علاقوں میں سرد موسم اور سڑکوں پر برف باری کا سامنا رہا۔ کولوراڈو، مونٹانا، اور مشی گن میں برف باری کے باعث ووٹنگ کو متاثر کرنا پڑا۔ جبکہ نیو ہیمپشائر، ورمونٹ، اور نیویارک کے بعض علاقوں میں بھی برف باری ہوئی۔ جہاں کئی افراد سردی کے باعث گھروں میں محصور ہو گئے۔ برف باری کے باعث نیو ہیمپشائر میں ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے بعض علاقوں میں برف باری کے باعث ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے بعض علاقوں میں برف باری کے باعث ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے بعض علاقوں میں برف باری کے باعث ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے بعض علاقوں میں برف باری کے باعث ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے بعض علاقوں میں برف باری کے باعث ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے بعض علاقوں میں برف باری کے باعث ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے بعض علاقوں میں برف باری کے باعث ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے بعض علاقوں میں برف باری کے باعث ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے بعض علاقوں میں برف باری کے باعث ووٹنگ کا عمل متاثر ہوا۔ نیو ہیمپشائر کے,1.5952380952380953,1.2074303405572755,126
47,110-130_16_02_base_18_blur-0.75.jpg,110-130,16,2,18,0.75,white,امریکا کے صددارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکہ کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابات کے راستے میں سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا کیونکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کی روٹ کاؤنٹی میں اسکی ریزورٹ شہر اسٹیم بوٹ اسپرنگز میں برف باری ہوئی جہاں کئی افراد سڑکوں پر کھڑے ہو کر لوگوں کو ووٹ ڈالنے کی ترغیب دینے والی گاڑیوں پر نشانات لہرا رہے تھے۔ ڈینور کے شمال مغرب میں واقع کولوراڈو کی بولڈر کاؤنٹی میں واقع نیڈرلینڈ میں نیڈرلینڈ کمیونٹی سینٹر کے پولنگ کے مقام پر برف باری دیکھی گئی.,امریکا کے صدارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود ووٹنگ کا عمل جاری رہا۔ امریکا کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابات کے راستے میں سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا، کیونکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کے شہر بولڈر اسٹیرنگر میں اسکی باری ہوئی جہاں کئی افراد سڑکوں پر کھڑے ہوکر لوگوں کو ووٹ ڈالنے کی ترغیب دینے والے نشانات لہرا رہے تھے۔ ڈینور کے مغرب میں واقع کولوراڈو کی بولڈر کاؤنٹی میں نیڈر لینڈ میں نیڈر لینڈ نیو کمیونٹی سینٹر کے پولنگ کے مقام پر برف باری دیکھی گئی۔,0.20634920634920634,0.11764705882352941,126
48,110-130_16_02_base_18_blur-1.5.jpg,110-130,16,2,18,1.5,white,امریکا کے صددارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکہ کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابات کے راستے میں سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا کیونکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کی روٹ کاؤنٹی میں اسکی ریزورٹ شہر اسٹیم بوٹ اسپرنگز میں برف باری ہوئی جہاں کئی افراد سڑکوں پر کھڑے ہو کر لوگوں کو ووٹ ڈالنے کی ترغیب دینے والی گاڑیوں پر نشانات لہرا رہے تھے۔ ڈینور کے شمال مغرب میں واقع کولوراڈو کی بولڈر کاؤنٹی میں واقع نیڈرلینڈ میں نیڈرلینڈ کمیونٹی سینٹر کے پولنگ کے مقام پر برف باری دیکھی گئی.,امریکا کے صدارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکا کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابی مراکز کے راستے میں برف باری اور موسم کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا، جبکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کی برف باری میں برف ہٹانے والی مشینیں اور کئی افراد سڑکوں پر گھومتے ہوئے نظر آئے۔ تاہم، ان ریاستوں میں انتخابی عمل متاثر نہیں ہوا۔ کولوراڈو کی بولڈر کاؤنٹی میں نیوٹرل لینڈ میں واقع یو سی سینٹر کے مقام پر برف باری دیکھی گئی۔,0.42857142857142855,0.28792569659442724,126
49,110-130_16_03_base_24.jpg,110-130,16,3,24,0.0,white,امریکا کے صددارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکہ کی متعدد ریاستوں میں رائے دہندگان نے انتخابات کے دن انتخابات کے راستے میں سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا دونوں کو موسم سرما کا سامنا کرنا پڑا کیونکہ کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کی روٹ کاؤنٹی میں اسکی ریزورٹ شہر اسٹیم بوٹ اسپرنگز میں برف باری ہوئی جہاں کئی افراد سڑکوں پر کھڑے ہو کر لوگوں کو ووٹ ڈالنے کی ترغیب دینے والی گاڑیوں پر نشانات لہرا رہے تھے۔ ڈینور کے شمال مغرب میں واقع کولوراڈو کی بولڈر کاؤنٹی میں واقع نیڈرلینڈ میں نیڈرلینڈ کمیونٹی سینٹر کے پولنگ کے مقام پر برف باری دیکھی گئی.,امریکا کے صدارتی انتخابات کے دوران چند ریاستوں میں ہونے والی برف باری کے باوجود پولنگ کا عمل جاری رہا۔ امریکا کی متعدد ریاستوں میں راستے دن انتخابات کے دن انتخابات کے راستے میں موسم سرد موسم اور برف باری کا سامنا کیا۔ کولوراڈو اور مونٹانا کو کئی پولنگ مقامات کے باہر برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔ کولوراڈو کی برف باری ہوئی۔,1.1746031746031746,0.9287925696594427,126
50,110-130_17_01_base_12.jpg,110-130,17,1,12,0.0,white,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو ٹرمپ کے حامیوں کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پٹیشن پر دستخط کرنے والوں میں لاکھوں ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدارتی انتخابات سے قبل ووٹرز میں رقوم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ بھی دائر کیا تھا۔ قانونی ماہرین کا بھی کہنا تھا کہ ایسی کوئی بھی پیشکش جس میں ووٹر کو دستخط کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,امریکہ عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو ٹرمپ کے حامیوں کی 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دے دی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکہ کی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پیٹیشن کو محفوظ کرنے والوں میں 11 سابق عہدیداروں نے صدارتی انتخابات سے متعلق ووٹرز کے تحفظ پر قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ بھی دائر کیا تھا۔ قانونی ماہرین کا کہنا تھا کہ ایسی کوئی بھی پیٹیشن جس میں ووٹرز کو محفوظ کرنے کی جائے، امریکی قانون کی خلاف ورزی ہے۔,0.3089430894308943,0.23728813559322035,123
51,110-130_17_02_base_18.jpg,110-130,17,2,18,0.0,white,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو ٹرمپ کے حامیوں کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پٹیشن پر دستخط کرنے والوں میں لاکھوں ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدارتی انتخابات سے قبل ووٹرز میں رقوم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ بھی دائر کیا تھا۔ قانونی ماہرین کا بھی کہنا تھا کہ ایسی کوئی بھی پیشکش جس میں ووٹر کو دستخط کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی ترمیم کی حمایت میں آن لائن پیٹیشن میں لاکھوں ڈالر کی فنڈنگ کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدارتی انتخابات سے قبل ووٹرز میں رقم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ بھی دائر کیا تھا۔ تاہم کوئی بھی وکیل انہیں کوئی بھیٹیشن جس میں ووٹر کو محفوظ کرنے کے لیے رقم کی پیشکش کی جائے امریکی قانون کی خلاف ورزی ہے۔,0.2032520325203252,0.1576271186440678,123
52,110-130_17_02_base_18_bg-light_yellow.jpg,110-130,17,2,18,0.0,light_yellow,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو ٹرمپ کے حامیوں کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پٹیشن پر دستخط کرنے والوں میں لاکھوں ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدارتی انتخابات سے قبل ووٹرز میں رقوم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ بھی دائر کیا تھا۔ قانونی ماہرین کا بھی کہنا تھا کہ ایسی کوئی بھی پیشکش جس میں ووٹر کو دستخط کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں ان لائن پیٹیشن میں حصہ لینے والوں میں لاٹری ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدراتی انتخابات سے قبل ووٹرز میں رقم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ دائر کیا تھا۔ انہیں کوئی بھی مہمیکیشن جس میں ووٹرز کو متحفظ کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,0.1951219512195122,0.1423728813559322,123
53,110-130_17_02_base_18_bg-slate_gray.jpg,110-130,17,2,18,0.0,slate_gray,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو ٹرمپ کے حامیوں کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پٹیشن پر دستخط کرنے والوں میں لاکھوں ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدارتی انتخابات سے قبل ووٹرز میں رقوم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ بھی دائر کیا تھا۔ قانونی ماہرین کا بھی کہنا تھا کہ ایسی کوئی بھی پیشکش جس میں ووٹر کو دستخط کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو 10 لاکھ ڈالرز دینے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے گزشتہ برس امریکی عدالت میں ان لائن پلیٹ فارم ایکس کے ملازمین کو فارغ کرنے کا اعلان کیا تھا۔ جس پر مسٹر مسک پر مقدمات کے انبار لگ گئے تھے۔ عدالت نے ان مقدمات سے نمٹنے کے لیے 11 سابق ملازمین کو 10 لاکھ ڈالرز دینے کی اجازت دیدی۔ عدالت نے کہا کہ ملازمین کا کہنا تھا کہ انہیں کوئی انتباہ نہیں دیا گیا تھا۔ امریکی قانون کی خلاف ورزی ہے۔,0.6178861788617886,0.4847457627118644,123
54,110-130_17_02_base_18_blur-0.75.jpg,110-130,17,2,18,0.75,white,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو ٹرمپ کے حامیوں کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پٹیشن پر دستخط کرنے والوں میں لاکھوں ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدارتی انتخابات سے قبل ووٹرز میں رقوم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ بھی دائر کیا تھا۔ قانونی ماہرین کا بھی کہنا تھا کہ ایسی کوئی بھی پیشکش جس میں ووٹر کو دستخط کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پر دستخط کرنے والوں میں لاکھوں ڈالر کی جماعت پیشکش کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدارتی انتخابات میں ووٹرز میں رقم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ دائر کیا تھا۔ امریکی قانون کی ماہرین کا بھی کہنا تھا کہ ایسی کوئی بھی پیشکش جس میں ووٹر کو محفوظ کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,0.13008130081300814,0.10338983050847457,123
55,110-130_17_02_base_18_blur-1.5.jpg,110-130,17,2,18,1.5,white,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو ٹرمپ کے حامیوں کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پٹیشن پر دستخط کرنے والوں میں لاکھوں ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدارتی انتخابات سے قبل ووٹرز میں رقوم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ بھی دائر کیا تھا۔ قانونی ماہرین کا بھی کہنا تھا کہ ایسی کوئی بھی پیشکش جس میں ووٹر کو دستخط کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو 10 لاکھ ڈالر دینے کی اجازت دے دی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں آن لائن پلیٹ فارم پر بدتمیزی کرنے والوں میں لاکھوں ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت کے 11 سابق عہدیداروں نے صدراتی انتخابات سے قبل ووٹرز میں رقم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ دائر کیا تھا۔ ایسی کوئی بھی اسکیم جس میں ووٹر کو محفوظ کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,0.2682926829268293,0.24067796610169492,123
56,110-130_17_03_base_24.jpg,110-130,17,3,24,0.0,white,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو ٹرمپ کے حامیوں کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پٹیشن پر دستخط کرنے والوں میں لاکھوں ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق عہدیداروں نے صدارتی انتخابات سے قبل ووٹرز میں رقوم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ بھی دائر کیا تھا۔ قانونی ماہرین کا بھی کہنا تھا کہ ایسی کوئی بھی پیشکش جس میں ووٹر کو دستخط کرنے کے لیے رقم کی پیشکش کی جائے، امریکی قانون کی خلاف ورزی ہے۔,امریکی عدالت نے اپنے ایک بڑے فیصلے میں ایلون مسک کو ٹرمپ کے حامیوں کو 10 لاکھ ڈالر دینے کی مہم جاری رکھنے کی اجازت دیدی۔ عالمی خبر رساں ادارے کے مطابق ایلون مسک نے امریکی آئین میں پہلی اور دوسری ترمیم کی حمایت میں آن لائن پٹیشن پر دستخط کرنے والوں میں لاکھوں ڈالر تقسیم کرنے کا اعلان کیا تھا۔ جس پر ٹرمپ کی جماعت ریپبلکن کے 11 سابق صدور نے انتخابات سے قبل وہ ٹرینڈز میں رقم بانٹنے کی قانونی حیثیت پر سوال اٹھائے تھے اور مقدمہ دائر کیا تھا۔ قانونی ماہرین کا بھی کہنا تھا کہ ایسی کوئی بھی پٹیشن جس میں ووٹرز کو دستخط کرنے کی جائے، امریکی قانون کی خلاف ورزی ہے۔,0.10569105691056911,0.08135593220338982,123
57,110-130_18_01_base_12.jpg,110-130,18,1,12,0.0,white,امریکا میں 6 ٹائم زونز ہیں جس کی وجہ سے کسی ریاست کے شہری طلوع سحر سے لطف اندوز ہو رہے ہوتے ہیں تو کہیں رات کی سیاہی دن کو ڈھانپ رہی ہوتی ہے۔ امریکا کے ایسٹرن، سینٹرل، ماؤنٹین اور پیسیفک اسٹینڈرڈ ٹائم زونز ہونے کی وجہ سے کسی ریاست میں ووٹنگ شروع ہوچکی ہوگی تو کہیں ووٹنگ کے آغاز میں کئی گھنٹے باقی ہوں گے۔ اسی طرح کسی ریاست میں ووٹنگ کا عمل ختم ہوچکا ہوگا لیکن بہت سی ریاستوں میں ووٹرز نے ابھی اپنا رائے دہی استعمال کرنا شروع ہی کیا ہوگا۔ ٹائم زونز کے اس فرق کی وجہ سے امریکا میں ہونے والے صدارتی الیکشن کے نتائج مرتب ہونے اور ان کے اعلان کے اوقات کار بھی مختلف ہوں گے۔,امریکا میں 6 ٹائم زونز ہیں جس کی وجہ سے کسی ریاست کے شہر میں طلوع سحر سے لطف اندوز ہونے کی تو دوسری ریاست کے شہری کو دھوپ سہنی ہوتی ہے۔ امریکا کا ایسٹرن، سنٹرل، ماؤنٹین اور پیسیفک اسٹینڈرڈ ٹائم زونز ہونے کی وجہ سے کسی ریاست میں دوپہر شروع ہوچکی ہوتی ہے تو جبکہ وہیں دوسری ریاستوں میں راتوں نے بھی اپنا راستہ نہیں بنایا ہوتا۔ اسی طرح کی صورتحال میں دوپہر کا مکمل استعمال کرنا شروع کیا ہوتا۔ ٹائم زونز کے اس فرق کی وجہ سے امریکا میں ہونے والے صدارتی الیکشن کے نتائج مرتب ہونے اور ان کے اعلان کے اوقات بھی مختلف ہوں گے۔,0.42276422764227645,0.27495621716287216,123
