Image,Original Name,Word Count Range,Article Number,Image Sequence,Font Size,Blur Level,Background Color,True Labels,Response
57,110-130_18_01_base_12.jpg,110-130,18,1,12,0.0,white,"Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид.Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистону Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд.","Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид. Дар ин хусус ба АМИТ ""Ховар"" дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистонву Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳои оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд."
58,110-130_18_02_base_18.jpg,110-130,18,2,18,0.0,white,"Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид.Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистону Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд.","Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид. Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистонву Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд."
59,110-130_18_02_base_18_bg-light_yellow.jpg,110-130,18,2,18,0.0,light_yellow,"Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид.Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистону Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд.","Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид. Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо музокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистонву Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд."
60,110-130_18_02_base_18_bg-slate_gray.jpg,110-130,18,2,18,0.0,slate_gray,"Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид.Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистону Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд.","Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографии гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид. Дар ин хусус ба АМИТ «Ховар» дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистонву Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд."
61,110-130_18_02_base_18_blur-0.75.jpg,110-130,18,2,18,0.75,white,"Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид.Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистону Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд.","Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид. Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо музокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистону Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳои оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд."
62,110-130_18_02_base_18_blur-1.5.jpg,110-130,18,2,18,1.5,white,"Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид.Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистону Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд.","Дар асоси мувофиқӣ бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Киргизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Киргизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид. Дар ин хусус ба АМИТ «Ховар» дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо музокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистон ва Киргизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд."
63,110-130_18_03_base_24.jpg,110-130,18,3,24,0.0,white,"Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид.Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистону Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд.","Дар асоси мувофиқаи бадастомада, аз 11 то 17 августи соли 2024, дар шаҳри Ботканди вилояти Ботканди Ҷумҳурии Қирғизистон вохӯрии навбатии гурӯҳҳои кории топографӣ ва гурӯҳҳои корӣ оид ба масъалаҳои ҳуқуқии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатӣ баргузор гардид.Дар ин хусус ба АМИТ “Ховар” дар Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар доданд. Дар доираи вохӯрӣ, ҷонибҳо муҳокимаро идома дода, оид ба тавсифи минтақаҳои боқимондаи хатти сарҳади давлатии Тоҷикистонву Қирғизистон табодули пешниҳодҳо намуданд. Ҷонибҳо корҳоро оид ба тавсифи минтақаҳои боқимонда дар мулоқоти навбатӣ, ки дар ҳудуди Тоҷикистон баргузор мегардад, идома медиҳанд. Аз натиҷаи вохӯрӣ Протоколи дахлдор ба имзо расид. Вохӯрӣ дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор шуд."
64,110-130_19_01_base_12.jpg,110-130,19,1,12,0.0,white,"6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсияи сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймуъмин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсия сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон чигати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид."
65,110-130_19_02_base_18.jpg,110-130,19,2,18,0.0,white,"6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсияи сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсияи сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид."
66,110-130_19_02_base_18_bg-light_yellow.jpg,110-130,19,2,18,0.0,light_yellow,"6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсияи сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсияи сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид."
67,110-130_19_02_base_18_bg-slate_gray.jpg,110-130,19,2,18,0.0,slate_gray,"6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсияи сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсияи сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид."
68,110-130_19_02_base_18_blur-0.75.jpg,110-130,19,2,18,0.75,white,"6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсияи сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","6 июли соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон баррасии масъалаҳои делимитатсияи сарҳади давлатии Тоҷикистон ва Қирғизистонро дар минтақаҳои боқимонда давом дода, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супориш доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид."
