Image,Original Name,Word Count Range,Article Number,Image Sequence,Font Size,Blur Level,Background Color,True Labels
11,110-130_11_02_base_18_bg-slate_gray.jpg,110-130,11,02,18,0,slate_gray,"Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конференсияи вазоратии Осиёи Марказӣ дар мавзуи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конференсия бо ташаббуси Раёсати Комиссарии Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Узбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конференсия оид ба иқдоми давлату ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилоти байналмилалӣ ва роҳҳои ҳалли мушкилоти ҷойдошта ибрози назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон"
12,110-130_11_02_base_18_blur-0.75.jpg,110-130,11,02,18,0.75,white,"Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конференсияи вазоратии Осиёи Марказӣ дар мавзуи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конференсия бо ташаббуси Раёсати Комиссарии Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Узбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конференсия оид ба иқдоми давлату ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилоти байналмилалӣ ва роҳҳои ҳалли мушкилоти ҷойдошта ибрози назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон"
13,110-130_11_02_base_18_blur-1.5.jpg,110-130,11,02,18,1.5,white,"Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конференсияи вазоратии Осиёи Марказӣ дар мавзуи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конференсия бо ташаббуси Раёсати Комиссарии Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Узбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конференсия оид ба иқдоми давлату ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилоти байналмилалӣ ва роҳҳои ҳалли мушкилоти ҷойдошта ибрози назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон"
14,110-130_11_03_base_24.jpg,110-130,11,03,24,0,white,"Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конференсияи вазоратии Осиёи Марказӣ дар мавзуи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конференсия бо ташаббуси Раёсати Комиссарии Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Узбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конференсия оид ба иқдоми давлату ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилоти байналмилалӣ ва роҳҳои ҳалли мушкилоти ҷойдошта ибрози назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон"
15,110-130_12_01_base_12.jpg,110-130,12,01,12,0,white,"5 ноябр зимни вохӯрии Вазири корҳои дохилии Ҷумҳурии Тоҷикистон, ҳамзамон Раиси Шурои ҷумҳуриявии «Динамо»-и ин вазорат Рамазон Раҳимзода бо Раиси Иттиҳодияи ҷамъиятию давлатии «Ҷамъияти умумирусиягии тарбияи ҷисмонӣ-варзишии «Динамо»-и Федератсияи Русия Анатолий Гулевский Созишномаи ҳамкорӣ ба имзо расид. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон хабар доданд. Ин созишнома ба фароҳам овардани шароити мусоид барои рушди тарзи ҳаёти солим, таҳкими робитаҳои дӯстона тавассути варзиш ва баргузории чорабиниҳои гуногуни варзишӣ мусоидат менамояд. Дар вохӯрӣ ҷонибҳо оид ба рушди ҳамкорӣ барои баргузории мусобиқаҳои варзишии сатҳи баланд, чорабиниҳои гуногуни варзишӣ бо Шурои ҷумҳуриявии «Динамо»-и Вазорати корҳои дохилии Тоҷикистон, табодули таҷриба дар самти таблиғи тарзи ҳаёти солим, обутоби ҷисмонӣ ва дигар масъалаҳои мавриди таваҷҷуҳ суҳбати судманд анҷом доданд."
16,110-130_12_02_base_18.jpg,110-130,12,02,18,0,white,"5 ноябр зимни вохӯрии Вазири корҳои дохилии Ҷумҳурии Тоҷикистон, ҳамзамон Раиси Шурои ҷумҳуриявии «Динамо»-и ин вазорат Рамазон Раҳимзода бо Раиси Иттиҳодияи ҷамъиятию давлатии «Ҷамъияти умумирусиягии тарбияи ҷисмонӣ-варзишии «Динамо»-и Федератсияи Русия Анатолий Гулевский Созишномаи ҳамкорӣ ба имзо расид. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон хабар доданд. Ин созишнома ба фароҳам овардани шароити мусоид барои рушди тарзи ҳаёти солим, таҳкими робитаҳои дӯстона тавассути варзиш ва баргузории чорабиниҳои гуногуни варзишӣ мусоидат менамояд. Дар вохӯрӣ ҷонибҳо оид ба рушди ҳамкорӣ барои баргузории мусобиқаҳои варзишии сатҳи баланд, чорабиниҳои гуногуни варзишӣ бо Шурои ҷумҳуриявии «Динамо»-и Вазорати корҳои дохилии Тоҷикистон, табодули таҷриба дар самти таблиғи тарзи ҳаёти солим, обутоби ҷисмонӣ ва дигар масъалаҳои мавриди таваҷҷуҳ суҳбати судманд анҷом доданд."
17,110-130_12_02_base_18_bg-light_yellow.jpg,110-130,12,02,18,0,light_yellow,"5 ноябр зимни вохӯрии Вазири корҳои дохилии Ҷумҳурии Тоҷикистон, ҳамзамон Раиси Шурои ҷумҳуриявии «Динамо»-и ин вазорат Рамазон Раҳимзода бо Раиси Иттиҳодияи ҷамъиятию давлатии «Ҷамъияти умумирусиягии тарбияи ҷисмонӣ-варзишии «Динамо»-и Федератсияи Русия Анатолий Гулевский Созишномаи ҳамкорӣ ба имзо расид. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон хабар доданд. Ин созишнома ба фароҳам овардани шароити мусоид барои рушди тарзи ҳаёти солим, таҳкими робитаҳои дӯстона тавассути варзиш ва баргузории чорабиниҳои гуногуни варзишӣ мусоидат менамояд. Дар вохӯрӣ ҷонибҳо оид ба рушди ҳамкорӣ барои баргузории мусобиқаҳои варзишии сатҳи баланд, чорабиниҳои гуногуни варзишӣ бо Шурои ҷумҳуриявии «Динамо»-и Вазорати корҳои дохилии Тоҷикистон, табодули таҷриба дар самти таблиғи тарзи ҳаёти солим, обутоби ҷисмонӣ ва дигар масъалаҳои мавриди таваҷҷуҳ суҳбати судманд анҷом доданд."
18,110-130_12_02_base_18_bg-slate_gray.jpg,110-130,12,02,18,0,slate_gray,"5 ноябр зимни вохӯрии Вазири корҳои дохилии Ҷумҳурии Тоҷикистон, ҳамзамон Раиси Шурои ҷумҳуриявии «Динамо»-и ин вазорат Рамазон Раҳимзода бо Раиси Иттиҳодияи ҷамъиятию давлатии «Ҷамъияти умумирусиягии тарбияи ҷисмонӣ-варзишии «Динамо»-и Федератсияи Русия Анатолий Гулевский Созишномаи ҳамкорӣ ба имзо расид. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон хабар доданд. Ин созишнома ба фароҳам овардани шароити мусоид барои рушди тарзи ҳаёти солим, таҳкими робитаҳои дӯстона тавассути варзиш ва баргузории чорабиниҳои гуногуни варзишӣ мусоидат менамояд. Дар вохӯрӣ ҷонибҳо оид ба рушди ҳамкорӣ барои баргузории мусобиқаҳои варзишии сатҳи баланд, чорабиниҳои гуногуни варзишӣ бо Шурои ҷумҳуриявии «Динамо»-и Вазорати корҳои дохилии Тоҷикистон, табодули таҷриба дар самти таблиғи тарзи ҳаёти солим, обутоби ҷисмонӣ ва дигар масъалаҳои мавриди таваҷҷуҳ суҳбати судманд анҷом доданд."
19,110-130_12_02_base_18_blur-0.75.jpg,110-130,12,02,18,0.75,white,"5 ноябр зимни вохӯрии Вазири корҳои дохилии Ҷумҳурии Тоҷикистон, ҳамзамон Раиси Шурои ҷумҳуриявии «Динамо»-и ин вазорат Рамазон Раҳимзода бо Раиси Иттиҳодияи ҷамъиятию давлатии «Ҷамъияти умумирусиягии тарбияи ҷисмонӣ-варзишии «Динамо»-и Федератсияи Русия Анатолий Гулевский Созишномаи ҳамкорӣ ба имзо расид. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон хабар доданд. Ин созишнома ба фароҳам овардани шароити мусоид барои рушди тарзи ҳаёти солим, таҳкими робитаҳои дӯстона тавассути варзиш ва баргузории чорабиниҳои гуногуни варзишӣ мусоидат менамояд. Дар вохӯрӣ ҷонибҳо оид ба рушди ҳамкорӣ барои баргузории мусобиқаҳои варзишии сатҳи баланд, чорабиниҳои гуногуни варзишӣ бо Шурои ҷумҳуриявии «Динамо»-и Вазорати корҳои дохилии Тоҷикистон, табодули таҷриба дар самти таблиғи тарзи ҳаёти солим, обутоби ҷисмонӣ ва дигар масъалаҳои мавриди таваҷҷуҳ суҳбати судманд анҷом доданд."
20,110-130_12_02_base_18_blur-1.5.jpg,110-130,12,02,18,1.5,white,"5 ноябр зимни вохӯрии Вазири корҳои дохилии Ҷумҳурии Тоҷикистон, ҳамзамон Раиси Шурои ҷумҳуриявии «Динамо»-и ин вазорат Рамазон Раҳимзода бо Раиси Иттиҳодияи ҷамъиятию давлатии «Ҷамъияти умумирусиягии тарбияи ҷисмонӣ-варзишии «Динамо»-и Федератсияи Русия Анатолий Гулевский Созишномаи ҳамкорӣ ба имзо расид. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон хабар доданд. Ин созишнома ба фароҳам овардани шароити мусоид барои рушди тарзи ҳаёти солим, таҳкими робитаҳои дӯстона тавассути варзиш ва баргузории чорабиниҳои гуногуни варзишӣ мусоидат менамояд. Дар вохӯрӣ ҷонибҳо оид ба рушди ҳамкорӣ барои баргузории мусобиқаҳои варзишии сатҳи баланд, чорабиниҳои гуногуни варзишӣ бо Шурои ҷумҳуриявии «Динамо»-и Вазорати корҳои дохилии Тоҷикистон, табодули таҷриба дар самти таблиғи тарзи ҳаёти солим, обутоби ҷисмонӣ ва дигар масъалаҳои мавриди таваҷҷуҳ суҳбати судманд анҷом доданд."
21,110-130_12_03_base_24.jpg,110-130,12,03,24,0,white,"5 ноябр зимни вохӯрии Вазири корҳои дохилии Ҷумҳурии Тоҷикистон, ҳамзамон Раиси Шурои ҷумҳуриявии «Динамо»-и ин вазорат Рамазон Раҳимзода бо Раиси Иттиҳодияи ҷамъиятию давлатии «Ҷамъияти умумирусиягии тарбияи ҷисмонӣ-варзишии «Динамо»-и Федератсияи Русия Анатолий Гулевский Созишномаи ҳамкорӣ ба имзо расид. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон хабар доданд. Ин созишнома ба фароҳам овардани шароити мусоид барои рушди тарзи ҳаёти солим, таҳкими робитаҳои дӯстона тавассути варзиш ва баргузории чорабиниҳои гуногуни варзишӣ мусоидат менамояд. Дар вохӯрӣ ҷонибҳо оид ба рушди ҳамкорӣ барои баргузории мусобиқаҳои варзишии сатҳи баланд, чорабиниҳои гуногуни варзишӣ бо Шурои ҷумҳуриявии «Динамо»-и Вазорати корҳои дохилии Тоҷикистон, табодули таҷриба дар самти таблиғи тарзи ҳаёти солим, обутоби ҷисмонӣ ва дигар масъалаҳои мавриди таваҷҷуҳ суҳбати судманд анҷом доданд."
22,110-130_13_01_base_12.jpg,110-130,13,01,12,0,white,"Бо ташаббуси Вазорати адлияи Ҷумҳурии Тоҷикистон 1 ноябри соли равон, соати 09:00 дар Китобхонаи миллӣ бахшида ба Рӯзи Конститутсияи Ҷумҳурии Тоҷикистон Форуми даҳуми миллӣ оид ба волоияти қонун баргузор мегардад. Дар ин хусус ба АМИТ «Ховар» дар Вазорати адлияи Тоҷикистон хабар доданд. Дар форум иштироки намояндагони мақомоти давлатӣ, созмонҳои байналмилалии муқими Тоҷикистон, доираҳои васеи илмӣ ва ҷомеаи шаҳрвандӣ, ҷамъ 400 нафар дар назар аст. Дар форум мавзуъҳои зерин, аз ҷумла «Рақамикунонии хизматрасонии давлатӣ ва танзими ҳуқуқии он: адлияи рақамӣ ва ҳамоҳангии байниидоравӣ», «Волоияти қонун ва дастрасӣ ба адолати судӣ», «Баланд бардоштани маърифати ҳуқуқӣ ҳамчун омили пешгирии терроризм ва экстремизм: дастовард, мушкилот ва дурнамо» ва дигар мавзуъҳо баррасӣ карда мешаванд. АКС: Вазорати адлияи Ҷумҳурии Тоҷикистон"
